,TeamID,SEASON,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,AGE,EXP,PLAYER_ID,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,LOSES,MIN,OREB,PF,PLUS_MINUS,PTS,REB,STL,TOV,WINS,WL
0,1610612748,2016,Josh Richardson,0,G,6-6,200,23.0,1,1626196,2.641509433962264,0.7358490566037735,2.509433962264151,4.283018867924528,1.4150943396226414,0.28258490566037736,9.679245283018869,3.811320754716981,0.37496226415094336,1.4528301886792452,1.1320754716981132,0.43426415094339627,53.0,30.0,30.471698113207548,0.660377358490566,2.490566037735849,0.1509433962264151,10.169811320754716,3.169811320754717,1.1320754716981132,1.2264150943396226,23.0,
1,1610612748,2016,Chris Bosh,1,F,6-11,235,33.0,13,2547,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,
2,1610612748,2016,Wayne Ellington,2,G,6-4,200,29.0,7,201961,1.1290322580645162,0.06451612903225806,1.8387096774193548,6.354838709677419,2.403225806451613,0.3550000000000001,8.951612903225806,3.725806451612903,0.3915967741935484,0.6935483870967742,0.5967741935483871,0.30108064516129035,62.0,27.0,24.129032258064516,0.2903225806451613,1.1290322580645162,1.3870967741935485,10.451612903225806,2.129032258064516,0.5645161290322581,0.4838709677419355,35.0,
3,1610612748,2016,Josh McRoberts,4,F,6-10,240,30.0,9,201177,2.272727272727273,0.18181818181818182,2.3181818181818183,1.4090909090909092,0.5909090909090909,0.2242727272727273,5.363636363636363,2.0,0.4256363636363636,0.4090909090909091,0.2727272727272727,0.1590909090909091,22.0,16.0,17.318181818181817,1.0454545454545454,1.4090909090909092,-3.272727272727273,4.863636363636363,3.3636363636363638,0.45454545454545453,1.0454545454545454,6.0,
4,1610612748,2016,Luke Babbitt,5,F,6-9,225,28.0,6,202337,0.5294117647058824,0.16176470588235295,1.8970588235294117,3.088235294117647,1.2794117647058822,0.39582352941176463,4.132352941176471,1.661764705882353,0.3756470588235294,0.22058823529411764,0.16176470588235295,0.08823529411764706,68.0,33.0,15.691176470588236,0.17647058823529413,1.7352941176470589,-0.14705882352941177,4.764705882352941,2.073529411764706,0.29411764705882354,0.36764705882352944,35.0,
5,1610612748,2016,Goran Dragic,7,G,6-3,190,31.0,8,201609,5.794520547945205,0.1780821917808219,2.9726027397260273,3.958904109589041,1.6027397260273972,0.3508082191780822,15.397260273972602,7.315068493150685,0.46932876712328764,5.164383561643835,4.082191780821918,0.7616301369863013,73.0,33.0,33.68493150684932,0.8493150684931506,2.7260273972602738,0.9178082191780822,20.315068493150687,3.8219178082191783,1.2191780821917808,2.904109589041096,40.0,
6,1610612748,2016,Tyler Johnson,8,G,6-4,186,25.0,2,204020,3.191780821917808,0.6027397260273972,3.328767123287671,3.4246575342465753,1.273972602739726,0.33045205479452044,11.287671232876713,4.890410958904109,0.4210821917808219,3.4794520547945207,2.671232876712329,0.6669999999999999,73.0,38.0,29.835616438356166,0.684931506849315,2.410958904109589,0.4520547945205479,13.726027397260275,4.013698630136986,1.1506849315068493,1.2328767123287672,35.0,
7,1610612748,2016,Dion Waiters,11,G,6-4,220,25.0,4,203079,4.3478260869565215,0.43478260869565216,2.9347826086956523,4.673913043478261,1.8478260869565217,0.33367391304347827,14.41304347826087,6.108695652173913,0.4208043478260869,2.760869565217391,1.7826086956521738,0.5039347826086956,46.0,19.0,30.08695652173913,0.391304347826087,2.0652173913043477,1.8043478260869565,15.847826086956522,3.3260869565217392,0.9130434782608695,2.239130434782609,27.0,
8,1610612748,2016,Okaro White,15,F,6-8,204,24.0,R,1627855,0.6,0.2857142857142857,1.6285714285714286,0.9714285714285714,0.34285714285714286,0.21428571428571427,2.4857142857142858,0.9428571428571428,0.31474285714285716,0.6285714285714286,0.5714285714285714,0.26665714285714287,35.0,9.0,13.428571428571429,0.7142857142857143,1.4857142857142858,1.9428571428571428,2.8,2.342857142857143,0.2857142857142857,0.5142857142857142,26.0,
9,1610612748,2016,James Johnson,16,F,6-9,250,30.0,7,201949,3.6315789473684212,1.131578947368421,4.078947368421052,3.3684210526315788,1.144736842105263,0.3368552631578947,10.118421052631579,4.842105263157895,0.4691184210526316,2.8289473684210527,2.0,0.5579342105263159,76.0,36.0,27.44736842105263,0.868421052631579,2.5921052631578947,1.881578947368421,12.828947368421053,4.947368421052632,1.0,2.25,40.0,
10,1610612748,2016,Rodney McGruder,17,G,6-4,205,25.0,R,203585,1.5897435897435896,0.23076923076923078,2.076923076923077,2.8205128205128207,0.9358974358974359,0.29078205128205126,5.897435897435898,2.4358974358974357,0.39851282051282055,0.9102564102564102,0.5641025641025641,0.236974358974359,78.0,38.0,25.192307692307693,1.205128205128205,1.794871794871795,0.08974358974358974,6.371794871794871,3.282051282051282,0.5897435897435898,0.717948717948718,40.0,
11,1610612748,2016,Justise Winslow,20,F,6-7,225,21.0,1,1626159,3.6666666666666665,0.3333333333333333,3.9444444444444446,1.9444444444444444,0.3888888888888889,0.12038888888888888,12.5,4.444444444444445,0.35472222222222216,2.611111111111111,1.6111111111111112,0.5861111111111111,18.0,14.0,34.833333333333336,1.2777777777777777,2.888888888888889,-0.3333333333333333,10.88888888888889,5.222222222222222,1.4444444444444444,1.8333333333333333,4.0,
