,Unnamed: 0,PLAYER,POSITION,SEASON,GP,MIN,PTS,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,HEIGHT,LOSES,NUM,OREB,PF,PLAYER_ID,PLUS_MINUS,REB,STL,TOV,TeamID,WEIGHT,WINS,AGE
17,17,Ray Allen,G,2007,73.0,35.9041095890411,17.438356164383563,3.0821917808219177,0.2191780821917808,2.643835616438356,11,6.191780821917808,2.4657534246575343,0.3950273972602739,13.506849315068493,6.013698630136986,0.44916438356164384,3.246575342465753,2.9452054794520546,0.7309041095890411,6-5,15.0,20.0,1.0273972602739727,2.0136986301369864,951,8.438356164383563,3.671232876712329,0.8904109589041096,1.7397260273972603,1610612738,205,58.0,32.0
18,18,Sam Cassell,G,2007,55.0,23.163636363636364,11.2,3.890909090909091,0.10909090909090907,2.163636363636364,14,1.3818181818181818,0.41818181818181815,0.15545454545454546,9.672727272727274,4.236363636363636,0.39689090909090896,2.6181818181818186,2.309090909090909,0.5971636363636363,6-3,26.0,28.0,0.3090909090909091,1.7818181818181815,208,-1.3090909090909093,2.4727272727272727,0.6727272727272727,1.7636363636363637,1610612738,185,29.0,38.0
19,19,Paul Pierce,F,2007,80.0,35.925,19.625,4.5375,0.45,4.475,9,4.5625,1.7875,0.3540375000000001,13.725,6.3625,0.4666249999999999,6.0625,5.1125,0.7904124999999997,6-7,16.0,34.0,0.6625,2.5,1718,9.8,5.1375,1.2625,2.7625,1610612738,235,64.0,30.0
20,20,James Posey,F,2007,74.0,24.567567567567572,7.364864864864867,1.5405405405405406,0.25675675675675674,3.9459459459459465,8,3.77027027027027,1.4324324324324325,0.318918918918919,5.594594594594594,2.3378378378378377,0.35705405405405394,1.554054054054054,1.2567567567567568,0.4477162162162162,6-8,14.0,41.0,0.40540540540540543,2.45945945945946,1899,2.5945945945945947,4.351351351351353,0.972972972972973,0.8783783783783784,1610612738,217,60.0,31.0
21,21,Tony Allen,G,2007,75.0,18.36,6.586666666666668,1.52,0.28,1.7866666666666666,3,0.76,0.24,0.12666666666666668,5.1866666666666665,2.2533333333333334,0.37916,2.4133333333333336,1.84,0.5274266666666667,6-4,14.0,42.0,0.4533333333333333,2.24,2754,2.9066666666666667,2.24,0.8266666666666667,1.4533333333333334,1610612738,213,61.0,26.0
22,22,Kendrick Perkins,C,2007,78.0,24.512820512820515,6.948717948717951,1.0769230769230769,1.4615384615384617,4.217948717948718,4,0.01282051282051282,0.0,0.0,4.461538461538462,2.743589743589744,0.6177948717948717,2.3461538461538463,1.4615384615384617,0.4112564102564103,6-10,16.0,43.0,1.858974358974359,3.1025641025641018,2570,6.397435897435898,6.0769230769230775,0.3974358974358974,1.6025641025641026,1610612738,264,62.0,23.0
24,24,Eddie House,G,2007,78.0,18.96153846153846,7.487179487179486,1.948717948717949,0.1282051282051282,1.8974358974358967,7,3.8205128205128207,1.5,0.3799358974358973,6.807692307692308,2.782051282051282,0.40266666666666656,0.4615384615384616,0.4230769230769231,0.2564102564102564,6-1,16.0,50.0,0.2435897435897436,1.4615384615384617,2067,3.58974358974359,2.141025641025641,0.7564102564102564,0.9743589743589745,1610612738,175,62.0,30.0
27,27,Daniel Gibson,G,2007,58.0,30.46551724137931,10.43103448275862,2.5,0.2413793103448276,1.7931034482758617,1,4.620689655172415,2.034482758620689,0.4130172413793104,8.017241379310345,3.4655172413793105,0.4265344827586208,1.8103448275862069,1.4655172413793105,0.5557586206896551,6-2,26.0,1.0,0.5172413793103449,2.810344827586207,200789,1.637931034482759,2.310344827586208,0.8103448275862069,1.3103448275862069,1610612739,194,32.0,22.0
28,28,Sasha Pavlovic,G-F,2007,51.0,23.31372549019608,7.431372549019607,1.6078431372549018,0.1176470588235294,1.8235294117647056,4,2.235294117647059,0.6666666666666666,0.2376078431372549,7.901960784313728,2.8627450980392166,0.32441176470588234,1.5098039215686274,1.03921568627451,0.35327450980392155,6-7,23.0,3.0,0.6862745098039216,2.2941176470588243,2562,-1.1372549019607845,2.5098039215686274,0.5686274509803921,1.0784313725490196,1610612739,239,28.0,24.0
29,29,Ben Wallace,C-F,2007,72.0,30.680555555555557,4.833333333333333,1.4583333333333333,1.625,5.138888888888889,11,0.05555555555555555,0.0,0.0,4.888888888888889,1.9166666666666667,0.3778472222222221,2.3472222222222223,1.0,0.2587777777777778,6-9,41.0,4.0,3.25,1.6805555555555556,1112,-1.7777777777777777,8.38888888888889,1.2222222222222223,0.9305555555555556,1610612739,240,31.0,33.0
30,30,Wally Szczerbiak,F,2007,75.0,23.14666666666667,11.48,1.3866666666666667,0.16,2.44,8,2.9066666666666667,1.2,0.3169733333333333,9.626666666666667,4.1466666666666665,0.4105066666666666,2.333333333333333,1.9866666666666664,0.6119733333333333,6-7,51.0,10.0,0.4533333333333333,1.3733333333333333,1887,-0.05333333333333334,2.893333333333333,0.30666666666666664,1.0133333333333334,1610612739,245,24.0,31.0
31,31,Zydrunas Ilgauskas,C,2007,73.0,30.47945205479452,14.095890410958905,1.4246575342465753,1.643835616438356,5.7397260273972615,9,0.0136986301369863,0.0,0.0,12.041095890410961,5.712328767123287,0.4591095890410958,3.328767123287671,2.6712328767123292,0.6369178082191781,7-3,32.0,11.0,3.602739726027397,3.3835616438356166,980,0.7671232876712328,9.342465753424657,0.4657534246575342,1.8493150684931507,1610612739,260,41.0,33.0
33,33,Delonte West,G,2007,61.0,25.081967213114748,8.311475409836065,3.7540983606557377,0.4754098360655738,2.6557377049180326,3,2.2131147540983607,0.7868852459016393,0.2751311475409836,7.786885245901638,3.2131147540983607,0.4002622950819672,1.4918032786885247,1.098360655737705,0.3183934426229508,6-3,38.0,13.0,0.5081967213114754,1.6885245901639343,2753,-1.3770491803278688,3.1639344262295084,0.9672131147540984,1.9180327868852456,1610612739,180,23.0,24.0
34,34,Anderson Varejao,C-F,2007,48.0,27.4375,6.6875,1.1041666666666667,0.5416666666666666,5.520833333333332,3,0.04166666666666666,0.0,0.0,6.145833333333332,2.833333333333333,0.4603125000000001,1.7083333333333333,1.0208333333333333,0.3143333333333333,6-10,20.0,17.0,2.7916666666666665,2.7916666666666665,2760,1.5416666666666667,8.3125,0.7708333333333334,1.2291666666666667,1610612739,240,28.0,25.0
35,35,Damon Jones,G,2007,67.0,19.98507462686567,6.522388059701491,1.8805970149253728,0.01492537313432836,1.0,9,4.119402985074627,1.7164179104477613,0.4024776119402985,5.4179104477611935,2.253731343283582,0.3985671641791043,0.41791044776119396,0.29850746268656714,0.14801492537313432,6-3,32.0,19.0,0.07462686567164177,0.9850746268656716,1800,0.9253731343283582,1.0746268656716418,0.2835820895522388,0.5373134328358209,1610612739,195,35.0,31.0
37,37,LeBron James,F,2007,75.0,40.373333333333335,30.0,7.1866666666666665,1.08,6.12,4,4.786666666666667,1.5066666666666666,0.27180000000000004,21.89333333333333,10.586666666666666,0.4810666666666668,10.28,7.32,0.7217600000000001,6-8,30.0,23.0,1.7733333333333334,2.2,2544,1.8266666666666669,7.893333333333333,1.84,3.4,1610612739,250,45.0,23.0
39,39,Joe Smith,F-C,2007,77.0,22.376623376623375,10.103896103896105,0.8571428571428571,0.6103896103896104,3.090909090909092,12,0.03896103896103896,0.0,0.0,8.480519480519481,4.051948051948052,0.4606493506493506,2.6493506493506493,2.0,0.5141168831168831,6-10,43.0,32.0,2.116883116883117,2.415584415584416,693,-0.2727272727272727,5.207792207792208,0.4415584415584416,0.9220779220779219,1610612739,225,34.0,32.0
40,40,Devin Brown,G,2007,78.0,22.58974358974359,7.512820512820514,2.243589743589744,0.08974358974358974,2.5384615384615383,5,1.871794871794872,0.5769230769230769,0.2318076923076923,6.807692307692308,2.782051282051282,0.3949871794871794,1.8205128205128205,1.3717948717948718,0.4580384615384616,6-5,34.0,33.0,0.8333333333333334,1.8461538461538465,2484,-0.5512820512820513,3.3717948717948723,0.6666666666666666,1.2692307692307692,1610612739,210,44.0,29.0
43,43,Jannero Pargo,G,2007,80.0,18.7125,8.05,2.4,0.0625,1.3,5,2.325,0.8125,0.236525,8.15,3.175,0.362525,1.0125,0.8875,0.3760375,6-1,26.0,2.0,0.325,1.5375,2457,0.7375,1.625,0.625,1.1625,1610612740,175,54.0,28.0
44,44,Chris Paul,G,2007,80.0,37.575,21.05,11.5625,0.05,3.2375,2,3.1125,1.15,0.329925,16.1375,7.875,0.4852250000000001,4.875,4.15,0.7454500000000002,6-0,25.0,3.0,0.775,2.3125,101108,5.9875,4.0125,2.7125,2.5125,1610612740,175,55.0,23.0
46,46,Tyson Chandler,C,2007,79.0,35.253164556962034,11.759493670886073,1.0253164556962024,1.0632911392405062,7.670886075949367,6,0.012658227848101266,0.0,0.0,7.6582278481012676,4.772151898734177,0.6356455696202529,3.734177215189873,2.2151898734177213,0.5332911392405063,7-1,25.0,6.0,4.075949367088608,3.075949367088608,2199,5.405063291139243,11.746835443037975,0.569620253164557,1.7215189873417722,1610612740,235,54.0,25.0
47,47,Morris Peterson,G,2007,76.0,23.63157894736842,8.0,0.8815789473684209,0.09210526315789473,2.236842105263158,7,3.7763157894736836,1.4868421052631582,0.3614605263157895,6.789473684210527,2.8289473684210527,0.3933684210526314,1.118421052631579,0.8552631578947368,0.3017631578947368,6-7,24.0,9.0,0.4736842105263158,1.6447368421052633,2050,2.8421052631578947,2.7105263157894743,0.618421052631579,0.5394736842105263,1610612740,220,52.0,30.0
49,49,Peja Stojakovic,F,2007,77.0,35.27272727272727,16.4025974025974,1.2467532467532467,0.12987012987012986,3.467532467532469,9,6.805194805194804,3.0,0.4338701298701297,13.324675324675324,5.857142857142858,0.4282987012987012,1.818181818181818,1.6883116883116882,0.517974025974026,6-10,24.0,16.0,0.8311688311688312,1.6493506493506491,978,5.987012987012987,4.298701298701299,0.7402597402597403,0.7922077922077922,1610612740,229,53.0,31.0
50,50,Bonzi Wells,G-F,2007,73.0,21.45205479452055,9.068493150684931,1.3287671232876712,0.4383561643835616,3.3835616438356166,9,0.6849315068493149,0.1643835616438356,0.10502739726027396,7.794520547945205,3.4520547945205484,0.4276712328767123,3.1095890410958904,2.0,0.4585205479452055,6-5,29.0,24.0,1.1506849315068493,2.150684931506849,1719,0.2876712328767123,4.534246575342466,1.0273972602739727,1.4109589041095891,1610612740,210,44.0,31.0
51,51,David West,F,2007,76.0,37.776315789473685,20.57894736842105,2.3289473684210527,1.3026315789473684,6.5131578947368425,4,0.32894736842105265,0.07894736842105263,0.05263157894736842,17.17105263157895,8.276315789473685,0.4764342105263159,4.644736842105263,3.947368421052632,0.8090263157894736,6-9,24.0,30.0,2.3684210526315788,2.736842105263158,2561,5.38157894736842,8.881578947368421,0.8157894736842105,2.171052631578948,1610612740,240,52.0,27.0
55,55,Rasual Butler,F-G,2007,51.0,17.215686274509803,4.941176470588236,0.7058823529411765,0.4117647058823529,1.6470588235294117,5,2.607843137254902,0.8627450980392157,0.2374313725490196,5.098039215686273,1.7843137254901962,0.3057450980392156,0.6078431372549019,0.5098039215686274,0.2385686274509804,6-7,14.0,45.0,0.3137254901960784,1.2941176470588236,2446,0.8823529411764706,1.96078431372549,0.29411764705882354,0.19607843137254904,1610612740,205,37.0,29.0
56,56,Thabo Sefolosha,G,2007,69.0,20.82608695652174,6.72463768115942,1.8695652173913044,0.43478260869565216,2.971014492753623,1,1.2753623188405796,0.42028985507246375,0.193231884057971,6.1014492753623175,2.608695652173913,0.3551884057971015,1.5072463768115942,1.0869565217391304,0.33186956521739125,6-7,42.0,2.0,0.7246376811594203,1.855072463768116,200757,-1.463768115942029,3.695652173913044,0.8840579710144928,1.3478260869565215,1610612741,215,27.0,24.0
57,57,Andres Nocioni,F,2007,82.0,24.621951219512194,13.170731707317074,1.1585365853658536,0.5243902439024389,3.5853658536585367,3,4.219512195121951,1.5365853658536586,0.3350365853658536,10.695121951219512,4.621951219512195,0.4272682926829268,2.963414634146341,2.3902439024390243,0.5943170731707318,6-7,49.0,5.0,0.5853658536585366,2.9878048780487805,2804,-1.4878048780487805,4.170731707317073,0.3048780487804878,1.6219512195121952,1610612741,225,33.0,28.0
