,AGE,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,HEIGHT,LOSES,MIN,NUM,OREB,PF,PLAYER,PLAYER_ID,PLUS_MINUS,POSITION,PTS,REB,SEASON,STL,TOV,TeamID,WEIGHT,WINS,WL
0,22.0,1.7183098591549295,0.15492957746478872,0.8732394366197183,R,0.4507042253521127,0.09859154929577464,0.0645492957746479,3.1971830985915495,1.267605633802817,0.3485915492957746,0.6901408450704225,0.5774647887323944,0.27347887323943665,71.0,6-2,21.0,10.126760563380282,0,0.07042253521126761,1.1549295774647887,Jeff Teague,201952,-0.5633802816901409,G,3.211267605633803,0.9436619718309859,2009,0.4788732394366197,0.704225352112676,1610612737,180,50.0,
1,31.0,0.6075949367088608,0.21518987341772153,1.2025316455696202,6,2.1392405063291138,0.7215189873417721,0.26036708860759494,4.974683544303797,2.2151898734177213,0.4043037974683545,0.7721518987341772,0.5822784810126582,0.25740506329113927,79.0,6-5,28.0,16.68354430379747,1,0.7468354430379747,1.5822784810126582,Maurice Evans,2230,-0.16455696202531644,G-F,5.734177215189874,1.9493670886075949,2009,0.43037974683544306,0.25316455696202533,1610612737,220,51.0,
2,29.0,4.855263157894737,0.06578947368421052,3.6710526315789473,8,4.605263157894737,1.6973684210526316,0.3593157894736841,18.236842105263158,8.355263157894736,0.45553947368421044,3.539473684210526,2.8947368421052633,0.6705394736842104,76.0,6-7,26.0,37.93421052631579,2,0.9736842105263158,1.9078947368421053,Joe Johnson,2207,4.552631578947368,G,21.30263157894737,4.644736842105263,2009,1.0789473684210527,1.9078947368421053,1610612737,240,50.0,
3,24.0,4.222222222222222,2.123456790123457,5.950617283950617,5,0.08641975308641975,0.0,0.0,12.333333333333334,6.222222222222222,0.5099506172839506,5.209876543209877,3.2222222222222223,0.6015061728395061,81.0,6-9,29.0,35.46913580246913,5,2.753086419753086,2.962962962962963,Josh Smith,2746,4.839506172839506,F,15.666666666666666,8.703703703703704,2009,1.6049382716049383,2.4444444444444446,1610612737,240,52.0,
4,26.0,0.23076923076923078,0.0,0.48717948717948717,2,0.02564102564102564,0.0,0.0,0.5384615384615384,0.3076923076923077,0.14871794871794872,0.2564102564102564,0.15384615384615385,0.0812051282051282,39.0,6-5,14.0,3.6153846153846154,6,0.20512820512820512,0.6410256410256411,Mario West,201238,-0.6666666666666666,G,0.7692307692307693,0.6923076923076923,2009,0.20512820512820512,0.1794871794871795,1610612737,210,25.0,
5,32.0,3.875,0.0375,2.05,11,4.05,1.575,0.36205,8.05,3.35,0.4053875000000001,0.9875,0.85,0.36062500000000003,80.0,6-2,28.0,27.45,10,0.25,1.9625,Mike Bibby,1710,4.6,G,9.125,2.3,2009,0.8375,1.125,1610612737,195,52.0,
6,30.0,3.0126582278481013,0.1518987341772152,2.1139240506329116,9,5.405063291139241,2.0632911392405062,0.360873417721519,13.987341772151899,6.2784810126582276,0.4445949367088609,3.9873417721518987,3.4177215189873418,0.7964177215189874,79.0,6-5,28.0,31.126582278481013,11,0.43037974683544306,1.6708860759493671,Jamal Crawford,2037,3.240506329113924,G,18.037974683544302,2.5443037974683542,2009,0.7721518987341772,1.7341772151898733,1610612737,200,51.0,
7,24.0,2.3333333333333335,1.123456790123457,6.950617283950617,2,0.012345679012345678,0.012345679012345678,0.012345679012345678,10.45679012345679,5.765432098765432,0.5601604938271604,3.3333333333333335,2.6296296296296298,0.6577777777777777,81.0,6-10,29.0,35.135802469135804,15,2.9135802469135803,2.7777777777777777,Al Horford,201143,5.62962962962963,C,14.17283950617284,9.864197530864198,2009,0.7283950617283951,1.5061728395061729,1610612737,245,52.0,
8,24.0,1.1481481481481481,0.5679012345679012,3.8271604938271606,4,1.6296296296296295,0.49382716049382713,0.21479012345679013,8.197530864197532,3.728395061728395,0.4368518518518518,2.654320987654321,2.1728395061728394,0.5934197530864197,81.0,6-9,29.0,30.45679012345679,24,1.308641975308642,1.9753086419753085,Marvin Williams,101107,2.9753086419753085,F,10.123456790123457,5.135802469135802,2009,0.8148148148148148,0.8888888888888888,1610612737,240,52.0,
9,26.0,0.5384615384615384,0.3974358974358974,2.2564102564102564,6,0.05128205128205128,0.0,0.0,3.1538461538461537,1.5384615384615385,0.4442948717948718,1.8333333333333333,1.1923076923076923,0.3906025641025641,78.0,6-11,28.0,14.0,27,1.5,2.3846153846153846,Zaza Pachulia,2585,-0.16666666666666666,C-F,4.269230769230769,3.7564102564102564,2009,0.47435897435897434,0.7435897435897436,1610612737,275,50.0,
