,AGE,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,HEIGHT,LOSES,MIN,NUM,OREB,PF,PLAYER,PLAYER_ID,PLUS_MINUS,POSITION,PTS,REB,SEASON,STL,TOV,TeamID,WEIGHT,WINS,WL
0,23.0,1.9714285714285715,0.35714285714285715,1.3,1,0.6857142857142857,0.2571428571428571,0.1523857142857143,4.3428571428571425,1.9,0.39210000000000006,1.3857142857142857,1.1,0.3623142857142858,70.0,6-2,34.0,13.7,0,0.15714285714285714,1.1714285714285715,Jeff Teague,201952,-0.8857142857142857,G,5.1571428571428575,1.457142857142857,2010,0.6428571428571429,0.9142857142857143,1610612737,180,36.0,
1,30.0,4.694444444444445,0.09722222222222222,3.2222222222222223,9,4.166666666666667,1.2361111111111112,0.29111111111111115,16.125,7.138888888888889,0.4368472222222223,3.375,2.7083333333333335,0.7138472222222221,72.0,6-7,34.0,35.47222222222222,2,0.8194444444444444,1.8194444444444444,Joe Johnson,2207,1.1944444444444444,G,18.22222222222222,4.041666666666667,2010,0.6527777777777778,2.0277777777777777,1610612737,240,38.0,
2,31.0,0.7884615384615384,0.17307692307692307,1.2884615384615385,6,0.19230769230769232,0.038461538461538464,0.038461538461538464,2.6346153846153846,1.3269230769230769,0.4086346153846154,1.0769230769230769,0.7692307692307693,0.2804423076923077,52.0,6-6,27.0,13.01923076923077,3,0.4423076923076923,1.3846153846153846,Damien Wilkins,2863,-2.3076923076923075,G-F,3.4615384615384617,1.7307692307692308,2010,0.5192307692307693,0.40384615384615385,1610612737,225,25.0,
3,25.0,3.311688311688312,1.5584415584415585,6.792207792207792,6,2.0,0.6623376623376623,0.30907792207792206,13.519480519480519,6.454545454545454,0.4681948051948051,4.103896103896104,2.9740259740259742,0.6117272727272727,77.0,6-9,34.0,34.36363636363637,5,1.7402597402597402,2.8181818181818183,Josh Smith,2746,0.961038961038961,F,16.545454545454547,8.532467532467532,2010,1.2857142857142858,2.5584415584415585,1610612737,240,43.0,
4,30.0,4.0,0.2361111111111111,2.236111111111111,7,2.611111111111111,1.0416666666666667,0.3474305555555555,8.652777777777779,3.861111111111111,0.43611111111111106,1.75,1.4722222222222223,0.4785833333333333,72.0,6-4,48.0,29.958333333333332,6,0.2916666666666667,2.5694444444444446,Kirk Hinrich,2550,-5.347222222222222,G,10.23611111111111,2.5277777777777777,2010,1.0416666666666667,1.6805555555555556,1610612737,190,24.0,
5,31.0,3.1710526315789473,0.18421052631578946,1.4210526315789473,10,4.592105263157895,1.5657894736842106,0.3283421052631579,11.5,4.842105263157895,0.4039605263157894,3.4210526315789473,2.9210526315789473,0.6430657894736842,76.0,6-5,36.0,30.19736842105263,11,0.2894736842105263,1.2763157894736843,Jamal Crawford,2037,0.05263157894736842,G,14.171052631578947,1.7105263157894737,2010,0.75,1.9078947368421053,1610612737,200,40.0,
6,28.0,0.4074074074074074,0.09259259259259259,1.5925925925925926,5,0.018518518518518517,0.0,0.0,3.8518518518518516,1.7407407407407407,0.40731481481481474,0.8333333333333334,0.6666666666666666,0.28438888888888886,54.0,6-9,25.0,12.055555555555555,12,0.9074074074074074,1.4444444444444444,Josh Powell,2694,-2.1666666666666665,F,4.148148148148148,2.5,2010,0.09259259259259259,0.9814814814814815,1610612737,240,29.0,
7,25.0,3.4545454545454546,1.0389610389610389,6.961038961038961,3,0.05194805194805195,0.025974025974025976,0.025974025974025976,11.96103896103896,6.662337662337662,0.5517532467532468,2.4415584415584415,1.948051948051948,0.5613766233766233,77.0,6-10,36.0,35.142857142857146,15,2.3636363636363638,2.5064935064935066,Al Horford,201143,0.5974025974025974,C-F,15.2987012987013,9.324675324675324,2010,0.7662337662337663,1.5454545454545454,1610612737,245,41.0,
8,23.0,0.6666666666666666,0.0,0.3333333333333333,R,0.3333333333333333,0.0,0.0,2.0,0.6666666666666666,0.16666666666666666,1.0,1.0,0.3333333333333333,3.0,6-7,3.0,7.0,19,0.6666666666666666,0.3333333333333333,Pape Sy,202377,-2.3333333333333335,F-G,2.3333333333333335,1.0,2010,0.3333333333333333,1.0,1610612737,225,0.0,
9,25.0,1.353846153846154,0.35384615384615387,3.769230769230769,5,1.6923076923076923,0.5692307692307692,0.2615076923076923,8.261538461538462,3.7846153846153845,0.4464153846153846,2.6769230769230767,2.2615384615384615,0.5518307692307691,65.0,6-9,31.0,28.661538461538463,24,1.0461538461538462,1.6,Marvin Williams,101107,-0.6153846153846154,F,10.4,4.815384615384615,2010,0.5230769230769231,0.9538461538461539,1610612737,240,34.0,
10,25.0,,,,R,,,,,,,,,,0.0,6-11,0.0,,25,,,Magnum Rolle,202375,,F,,,2010,,,1610612737,235,0.0,
11,27.0,0.7341772151898734,0.27848101265822783,2.7088607594936707,7,0.0,0.0,0.0,2.9367088607594938,1.3544303797468353,0.368506329113924,2.2658227848101267,1.7088607594936709,0.4698860759493671,79.0,6-11,36.0,15.759493670886076,27,1.5063291139240507,2.329113924050633,Zaza Pachulia,2585,-1.6582278481012658,C,4.417721518987341,4.215189873417722,2010,0.43037974683544306,0.8734177215189873,1610612737,275,43.0,
