,AGE,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,HEIGHT,LOSES,MIN,NUM,OREB,PF,PLAYER,PLAYER_ID,PLUS_MINUS,POSITION,PTS,REB,SEASON,STL,TOV,TeamID,WEIGHT,WINS,WL
0,25.0,1.5394736842105263,0.5657894736842105,2.6184210526315788,3,0.7894736842105263,0.2894736842105263,0.19298684210526315,7.5394736842105265,4.302631578947368,0.5495657894736843,3.6184210526315788,2.9210526315789473,0.6458815789473684,76.0,6-8,43.0,29.94736842105263,1,2.289473684210526,1.6973684210526316,Josh Childress,2735,-1.6578947368421053,G-F,11.81578947368421,4.907894736842105,2007,0.9342105263157895,1.2894736842105263,1610612737,210,33.0,
1,27.0,5.780487804878049,0.21951219512195122,3.4634146341463414,6,5.414634146341464,2.0609756097560976,0.35874390243902443,18.25609756097561,7.890243902439025,0.42591463414634134,4.621951219512195,3.8536585365853657,0.8025975609756096,82.0,6-7,45.0,40.75609756097561,2,1.0121951219512195,2.048780487804878,Joe Johnson,2207,-0.24390243902439024,G,21.695121951219512,4.475609756097561,2007,1.024390243902439,2.7195121951219514,1610612737,235,37.0,
2,23.0,2.017857142857143,0.0,0.8035714285714286,R,0.6071428571428571,0.125,0.08332142857142857,4.232142857142857,1.6964285714285714,0.31939285714285715,0.8571428571428571,0.6785714285714286,0.25923214285714286,56.0,6-3,31.0,15.428571428571429,4,0.21428571428571427,1.3035714285714286,Acie Law,201151,-2.142857142857143,G,4.196428571428571,1.0178571428571428,2007,0.5178571428571429,1.0,1610612737,195,25.0,
3,22.0,3.3580246913580245,2.802469135802469,6.246913580246914,3,1.2222222222222223,0.30864197530864196,0.1615061728395062,13.987654320987655,6.395061728395062,0.4546666666666668,5.790123456790123,4.111111111111111,0.6969012345679013,81.0,6-9,44.0,35.50617283950617,5,1.9876543209876543,3.3209876543209877,Josh Smith,2746,-0.41975308641975306,F,17.209876543209877,8.234567901234568,2007,1.5185185185185186,3.0246913580246915,1610612737,235,37.0,
4,24.0,0.203125,0.0625,0.34375,R,0.0625,0.0,0.0,0.765625,0.328125,0.16478125,0.40625,0.265625,0.143234375,64.0,6-5,33.0,4.171875,6,0.40625,0.953125,Mario West,201238,-0.6875,G,0.921875,0.75,2007,0.1875,0.140625,1610612737,210,31.0,
5,30.0,6.041666666666667,0.08333333333333333,3.0,9,5.166666666666667,1.9375,0.349,12.5625,5.166666666666667,0.3946458333333332,2.0833333333333335,1.625,0.5647083333333334,48.0,6-1,24.0,32.6875,10,0.3333333333333333,2.0208333333333335,Mike Bibby,1710,-0.4791666666666667,G,13.895833333333334,3.3333333333333335,2007,1.125,2.4791666666666665,1610612737,190,24.0,
6,30.0,,,,6,,,,,,,,,,0.0,6-1,0.0,,12,,,Speedy Claxton,2049,,G,,,2007,,,1610612737,170,0.0,
7,22.0,1.5308641975308641,0.9382716049382716,6.62962962962963,R,0.06172839506172839,0.0,0.0,8.246913580246913,4.111111111111111,0.5057530864197531,2.617283950617284,1.9135802469135803,0.5540246913580247,81.0,6-10,44.0,31.333333333333332,15,3.0617283950617282,3.2962962962962963,Al Horford,201143,-1.4074074074074074,C-F,10.135802469135802,9.691358024691358,2007,0.7407407407407407,1.691358024691358,1610612737,245,37.0,
8,25.0,0.8,0.14285714285714285,0.5714285714285714,2,2.4285714285714284,0.8285714285714286,0.2507142857142857,5.142857142857143,1.8571428571428572,0.29259999999999997,1.4285714285714286,1.1714285714285715,0.3552571428571429,35.0,6-1,23.0,11.628571428571428,20,0.11428571428571428,0.9714285714285714,Salim Stoudamire,101136,-0.8,G,5.714285714285714,0.6857142857142857,2007,0.2,0.6,1610612737,175,12.0,
9,22.0,1.7125,0.4125,4.225,2,0.125,0.0125,0.0125,11.475,5.3,0.4605625,5.1125,4.2,0.7294624999999999,80.0,6-9,45.0,34.55,24,1.4875,2.8125,Marvin Williams,101107,-2.075,F,14.8125,5.7125,2007,1.0125,1.5875,1610612737,230,35.0,
10,24.0,0.5806451612903226,0.20967741935483872,2.564516129032258,4,0.04838709677419355,0.0,0.0,3.9516129032258065,1.7258064516129032,0.41067741935483865,2.467741935483871,1.7419354838709677,0.4137903225806452,62.0,6-11,34.0,15.225806451612904,27,1.435483870967742,2.2580645161290325,Zaza Pachulia,2585,-0.7580645161290323,C,5.193548387096774,4.0,2007,0.3870967741935484,1.1129032258064515,1610612737,280,28.0,
11,24.0,0.07407407407407407,0.0,0.2962962962962963,1,0.7037037037037037,0.25925925925925924,0.16048148148148147,1.6296296296296295,0.5925925925925926,0.2542962962962963,0.07407407407407407,0.07407407407407407,0.037037037037037035,27.0,6-7,15.0,4.851851851851852,32,0.037037037037037035,0.48148148148148145,Jeremy Richardson,200978,-2.037037037037037,G-F,1.5185185185185186,0.3333333333333333,2007,0.1111111111111111,0.2222222222222222,1610612737,195,12.0,
12,23.0,0.0,0.14285714285714285,0.6571428571428571,1,0.05714285714285714,0.0,0.0,0.8571428571428571,0.34285714285714286,0.15237142857142857,0.5714285714285714,0.3142857142857143,0.15714285714285714,35.0,6-10,22.0,4.228571428571429,44,0.5428571428571428,0.8,Solomon Jones,200780,-1.1142857142857143,F,1.0,1.2,2007,0.08571428571428572,0.3142857142857143,1610612737,230,13.0,
0,24.0,0.26785714285714285,0.2857142857142857,2.357142857142857,1,0.017857142857142856,0.0,0.0,4.803571428571429,2.75,0.49776785714285726,3.4464285714285716,2.4464285714285716,0.5060178571428572,56.0,6-8,10.0,14.428571428571429,0,1.6964285714285714,2.267857142857143,Leon Powe,200796,1.8035714285714286,F,7.946428571428571,4.053571428571429,2007,0.26785714285714285,0.7678571428571429,1610612738,240,46.0,
1,32.0,3.436619718309859,1.2535211267605635,7.323943661971831,12,0.15492957746478872,0.0,0.0,13.943661971830986,7.52112676056338,0.5448732394366198,4.732394366197183,3.788732394366197,0.7178169014084506,71.0,6-11,14.0,32.83098591549296,5,1.9014084507042253,2.295774647887324,Kevin Garnett,708,10.380281690140846,F,18.830985915492956,9.225352112676056,2007,1.408450704225352,1.943661971830986,1610612738,220,57.0,
2,22.0,5.103896103896104,0.16883116883116883,3.168831168831169,1,0.24675324675324675,0.06493506493506493,0.05194805194805195,9.25974025974026,4.558441558441558,0.47511688311688316,2.272727272727273,1.3896103896103895,0.4010779220779221,77.0,6-1,15.0,29.961038961038962,9,1.0129870129870129,2.4285714285714284,Rajon Rondo,200765,7.909090909090909,G,10.571428571428571,4.181818181818182,2007,1.6753246753246753,1.9090909090909092,1610612738,171,62.0,
