,TeamID,SEASON,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,AGE,EXP,PLAYER_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,WINS,LOSES,GP
0,1610612759,2016,Kyle Anderson,1,G-F,6-9,230,23.0,2,203937,14.152777777777779,1.2916666666666667,2.9027777777777777,0.3688055555555556,0.20833333333333334,0.5555555555555556,0.15740277777777778,0.625,0.7916666666666666,0.21295833333333333,0.4583333333333333,2.4305555555555554,2.888888888888889,1.2638888888888888,0.7083333333333334,0.3611111111111111,0.5416666666666666,0.875,3.4166666666666665,2.486111111111111,53.0,19.0,72.0
1,1610612759,2016,Kawhi Leonard,2,F,6-7,230,26.0,5,202695,33.486486486486484,8.594594594594595,17.72972972972973,0.4860675675675676,1.9864864864864864,5.22972972972973,0.3826216216216216,6.337837837837838,7.202702702702703,0.8683378378378375,1.0810810810810811,4.72972972972973,5.8108108108108105,3.5135135135135136,1.7972972972972974,0.7432432432432432,2.081081081081081,1.6486486486486487,25.513513513513512,5.864864864864865,54.0,20.0,74.0
2,1610612759,2016,Dewayne Dedmon,3,C,7-0,245,27.0,3,203473,17.486842105263158,2.1184210526315788,3.4078947368421053,0.5628421052631578,0.0,0.0,0.0,0.8552631578947368,1.2236842105263157,0.3980263157894737,1.6973684210526316,4.828947368421052,6.526315789473684,0.5789473684210527,0.4868421052631579,0.8026315789473685,0.8026315789473685,2.3684210526315788,5.092105263157895,2.513157894736842,55.0,21.0,76.0
3,1610612759,2016,Dejounte Murray,5,G,6-5,170,20.0,R,1627749,8.368421052631579,1.3157894736842106,3.0526315789473686,0.3062894736842105,0.23684210526315788,0.6052631578947368,0.1035,0.5526315789473685,0.7894736842105263,0.18202631578947367,0.15789473684210525,0.9473684210526315,1.105263157894737,1.263157894736842,0.21052631578947367,0.15789473684210525,1.0,0.7631578947368421,3.4210526315789473,0.02631578947368421,29.0,9.0,38.0
4,1610612759,2016,Patty Mills,8,G,6-0,185,28.0,7,201988,21.925,3.4125,7.7625,0.423925,1.8375,4.4375,0.3928125,0.825,1.0,0.3143875,0.3,1.4625,1.7625,3.5,0.8125,0.0375,1.2625,1.3625,9.4875,5.1,60.0,20.0,80.0
5,1610612759,2016,Tony Parker,9,G,6-2,185,35.0,15,2225,25.206349206349206,4.2063492063492065,9.031746031746032,0.4346666666666666,0.36507936507936506,1.0952380952380953,0.22882539682539682,1.3492063492063493,1.8571428571428572,0.445952380952381,0.14285714285714285,1.6507936507936507,1.7936507936507937,4.523809523809524,0.5396825396825397,0.031746031746031744,1.4126984126984128,1.4603174603174602,10.126984126984127,2.8253968253968256,46.0,17.0,63.0
6,1610612759,2016,David Lee,10,F-C,6-9,245,34.0,11,101135,18.734177215189874,3.1392405063291138,5.3164556962025316,0.5837974683544305,0.0,0.0,0.0,1.0126582278481013,1.4303797468354431,0.37048101265822786,1.8860759493670887,3.6962025316455698,5.582278481012659,1.5696202531645569,0.3924050632911392,0.5063291139240507,1.0379746835443038,1.5822784810126582,7.291139240506329,3.9873417721518987,58.0,21.0,79.0
7,1610612759,2016,Bryn Forbes,11,G,6-3,190,23.0,R,1627854,7.916666666666667,1.0,2.75,0.227,0.4722222222222222,1.4722222222222223,0.17027777777777775,0.1388888888888889,0.16666666666666666,0.06944444444444445,0.05555555555555555,0.5833333333333334,0.6388888888888888,0.6388888888888888,0.027777777777777776,0.0,0.3055555555555556,0.5555555555555556,2.611111111111111,-1.4166666666666667,24.0,12.0,36.0
8,1610612759,2016,LaMarcus Aldridge,12,F,6-11,260,31.0,10,200746,32.43055555555556,6.944444444444445,14.569444444444445,0.48005555555555546,0.3194444444444444,0.7777777777777778,0.2268472222222222,3.0555555555555554,3.763888888888889,0.6631527777777776,2.388888888888889,4.875,7.263888888888889,1.9305555555555556,0.6388888888888888,1.2222222222222223,1.3611111111111112,2.1944444444444446,17.26388888888889,3.7777777777777777,52.0,20.0,72.0
9,1610612759,2016,Danny Green,14,G-F,6-6,215,30.0,7,201980,26.558823529411764,2.588235294117647,6.602941176470588,0.40004411764705883,1.7352941176470589,4.573529411764706,0.3837205882352941,0.39705882352941174,0.47058823529411764,0.16176470588235295,0.45588235294117646,2.838235294117647,3.2941176470588234,1.8235294117647058,1.0294117647058822,0.8382352941176471,1.1176470588235294,1.7647058823529411,7.3088235294117645,3.9411764705882355,51.0,17.0,68.0
10,1610612759,2016,Pau Gasol,16,C,7-0,250,36.0,15,2200,25.421875,4.734375,9.4375,0.4931875,0.875,1.625,0.431484375,2.03125,2.875,0.49862500000000004,1.671875,6.15625,7.828125,2.34375,0.375,1.09375,1.265625,1.71875,12.375,3.546875,47.0,17.0,64.0
11,1610612759,2016,Jonathon Simmons,17,G-F,6-6,195,27.0,1,203613,17.897435897435898,2.269230769230769,5.397435897435898,0.3739871794871794,0.38461538461538464,1.3076923076923077,0.15855128205128205,1.2692307692307692,1.6923076923076923,0.38192307692307687,0.2564102564102564,1.794871794871795,2.051282051282051,1.6153846153846154,0.6025641025641025,0.32051282051282054,0.9743589743589743,1.8717948717948718,6.1923076923076925,2.7051282051282053,60.0,18.0,78.0
