,PLAYER,POSITION,SEASON,GP,MIN,PTS,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,HEIGHT,LOSES,NUM,OREB,PF,PLAYER_ID,PLUS_MINUS,REB,STL,TOV,TeamID,WEIGHT,WINS,AGE
0,Josh Childress,G-F,2007,76.0,29.947368421052627,11.81578947368421,1.5394736842105263,0.5657894736842105,2.6184210526315788,3,0.7894736842105263,0.2894736842105263,0.19298684210526315,7.5394736842105265,4.302631578947368,0.5495657894736843,3.6184210526315774,2.9210526315789487,0.6458815789473684,6-8,43.0,1.0,2.2894736842105257,1.6973684210526316,2735,-1.6578947368421053,4.907894736842105,0.9342105263157896,1.2894736842105263,1610612737,210,33.0,25.0
1,Joe Johnson,G,2007,82.0,40.75609756097561,21.695121951219512,5.780487804878049,0.2195121951219512,3.463414634146341,6,5.414634146341463,2.0609756097560976,0.35874390243902443,18.256097560975608,7.8902439024390265,0.4259146341463413,4.621951219512195,3.8536585365853657,0.8025975609756096,6-7,45.0,2.0,1.0121951219512195,2.048780487804878,2207,-0.24390243902439024,4.475609756097562,1.024390243902439,2.7195121951219514,1610612737,235,37.0,27.0
2,Acie Law,G,2007,56.0,15.428571428571427,4.196428571428571,2.017857142857143,0.0,0.8035714285714286,R,0.6071428571428571,0.125,0.08332142857142857,4.232142857142857,1.6964285714285714,0.31939285714285715,0.8571428571428571,0.6785714285714286,0.2592321428571429,6-3,31.0,4.0,0.21428571428571427,1.3035714285714286,201151,-2.142857142857143,1.0178571428571428,0.5178571428571429,1.0,1610612737,195,25.0,23.0
3,Josh Smith,F,2007,81.0,35.50617283950617,17.209876543209873,3.3580246913580245,2.802469135802469,6.246913580246915,3,1.2222222222222223,0.30864197530864196,0.1615061728395062,13.987654320987652,6.395061728395063,0.4546666666666668,5.790123456790122,4.111111111111111,0.6969012345679013,6-9,44.0,5.0,1.9876543209876545,3.320987654320988,2746,-0.41975308641975306,8.234567901234566,1.5185185185185186,3.0246913580246915,1610612737,235,37.0,22.0
4,Mario West,G,2007,64.0,4.171875,0.921875,0.203125,0.0625,0.34375,R,0.0625,0.0,0.0,0.765625,0.328125,0.16478125,0.40625,0.265625,0.143234375,6-5,33.0,6.0,0.40625,0.953125,201238,-0.6875,0.75,0.1875,0.140625,1610612737,210,31.0,24.0
5,Mike Bibby,G,2007,48.0,32.6875,13.895833333333336,6.041666666666668,0.08333333333333333,3.0,9,5.166666666666667,1.9375,0.349,12.5625,5.166666666666667,0.3946458333333332,2.083333333333333,1.625,0.5647083333333334,6-1,24.0,10.0,0.3333333333333333,2.020833333333333,1710,-0.4791666666666667,3.333333333333333,1.125,2.4791666666666665,1610612737,190,24.0,30.0
6,Al Horford,C-F,2007,81.0,31.33333333333333,10.135802469135802,1.530864197530864,0.9382716049382716,6.62962962962963,R,0.061728395061728385,0.0,0.0,8.246913580246913,4.111111111111111,0.5057530864197531,2.617283950617284,1.9135802469135803,0.5540246913580247,6-10,44.0,15.0,3.061728395061728,3.2962962962962963,201143,-1.4074074074074074,9.691358024691358,0.7407407407407407,1.6913580246913582,1610612737,245,37.0,22.0
7,Salim Stoudamire,G,2007,35.0,11.628571428571426,5.7142857142857135,0.8,0.14285714285714285,0.5714285714285714,2,2.4285714285714284,0.8285714285714286,0.2507142857142857,5.142857142857143,1.8571428571428568,0.2926,1.4285714285714286,1.1714285714285717,0.3552571428571429,6-1,23.0,20.0,0.11428571428571427,0.9714285714285714,101136,-0.8,0.6857142857142857,0.2,0.6,1610612737,175,12.0,25.0
8,Marvin Williams,F,2007,80.0,34.55,14.8125,1.7125,0.4125,4.225,2,0.125,0.0125,0.0125,11.475,5.3,0.4605625,5.1125,4.2,0.7294624999999999,6-9,45.0,24.0,1.4875,2.8125,101107,-2.075,5.7125,1.0125,1.5875,1610612737,230,35.0,22.0
9,Zaza Pachulia,C,2007,62.0,15.225806451612904,5.193548387096773,0.5806451612903226,0.20967741935483872,2.5645161290322585,4,0.04838709677419355,0.0,0.0,3.951612903225808,1.7258064516129032,0.41067741935483865,2.467741935483871,1.7419354838709675,0.4137903225806452,6-11,34.0,27.0,1.435483870967742,2.2580645161290325,2585,-0.7580645161290323,4.0,0.3870967741935484,1.1129032258064515,1610612737,280,28.0,24.0
