,Unnamed: 0,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS,TEAM_ID,TEAM_NAME,EASTERN
12,12,By Year,2005-06,82,26,56,0.317,48.5,35.9,79.2,0.45399999999999996,5.2,14.1,0.36700000000000005,20.2,26.9,0.75,13.0,27.2,40.3,19.8,15.7,7.2,4.8,5.1,25.0,22.6,97.2,-4.8,1,19,19,19,5,13,15,11,12,14,4,5,4,15,5,22,18,15,16,19,12,17,22,1,10,17,210,2005-06,0,1610612737,ATL,True
13,13,By Year,2004-05,82,13,69,0.159,48.4,35.9,81.4,0.441,3.7,11.9,0.312,17.3,24.3,0.711,13.4,28.5,41.9,19.7,16.1,7.7,4.2,5.9,24.5,0.0,92.7,-9.7,1,22,22,22,9,14,8,17,21,20,21,14,9,22,4,20,11,16,19,12,20,20,21,21,20,22,210,2004-05,0,1610612737,ATL,True
14,14,By Year,2003-04,82,28,54,0.341,48.5,34.5,79.6,0.433,5.1,15.2,0.335,18.7,24.1,0.7759999999999999,12.1,30.6,42.7,20.1,16.5,7.6,5.0,5.1,22.3,0.0,92.8,-4.6,1,17,17,17,4,20,14,20,14,12,17,8,11,7,9,10,6,14,20,13,10,14,18,20,19,16,210,2003-04,0,1610612737,ATL,True
15,15,By Year,2002-03,82,35,47,0.42700000000000005,48.6,34.9,78.5,0.444,4.9,13.9,0.35200000000000004,19.4,24.5,0.7929999999999999,11.4,31.2,42.6,20.5,16.7,7.5,5.8,5.0,21.7,0.1,94.1,-3.6,1,13,14,14,3,18,17,15,15,15,13,6,8,1,13,9,7,11,21,14,3,12,17,18,16,14,210,2002-03,0,1610612737,ATL,True
16,16,By Year,2001-02,82,33,49,0.402,48.2,35.4,80.6,0.439,5.2,14.6,0.354,18.1,23.7,0.765,11.6,29.8,41.5,20.2,15.5,8.1,4.3,6.2,20.8,0.1,94.0,-4.2,1,14,15,15,17,15,12,19,13,13,12,10,13,9,12,16,13,13,14,6,18,21,15,17,17,15,210,2001-02,0,1610612737,ATL,True
17,17,By Year,2000-01,82,25,57,0.305,48.1,35.1,81.3,0.431,4.1,11.4,0.35700000000000004,16.8,22.1,0.759,12.5,30.4,42.9,19.0,16.7,7.7,4.7,6.3,22.7,0.0,91.0,-5.2,1,20,20,20,18,17,9,21,19,21,10,16,15,12,6,11,5,19,22,11,13,22,19,21,21,19,210,2000-01,0,1610612737,ATL,True
18,18,By Year,1999-00,82,28,54,0.341,48.4,36.6,83.0,0.441,3.1,9.9,0.317,18.0,24.2,0.743,14.0,31.3,45.3,18.9,15.4,6.1,5.6,4.9,21.0,1.6,94.3,-5.4,1,17,17,17,13,9,4,18,22,22,20,12,10,16,1,6,1,21,13,21,4,10,16,14,15,20,210,1999-00,0,1610612737,ATL,True
19,19,By Year,1998-99,50,31,19,0.62,48.3,30.8,75.2,0.409,3.9,12.9,0.306,20.8,28.4,0.731,13.5,30.0,43.5,15.6,14.9,6.9,5.2,4.9,19.7,0.2,86.3,2.9,22,15,1,4,16,22,22,22,20,17,22,3,1,19,2,13,3,22,8,20,8,9,11,15,22,7,210,1998-99,1,1610612737,ATL,True
20,20,By Year,1997-98,82,50,32,0.61,48.5,35.2,77.5,0.455,4.1,12.4,0.332,21.3,28.2,0.7559999999999999,13.5,29.5,43.0,19.1,14.8,7.9,6.0,4.5,20.4,0.2,95.9,3.5,1,4,6,5,5,16,20,8,18,19,18,1,2,14,3,17,4,18,6,9,1,7,13,16,12,5,210,1997-98,1,1610612737,ATL,True
21,21,By Year,1996-97,82,56,26,0.6829999999999999,49.7,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,18.4,0.1,94.8,5.4,1,2,3,2,1,21,21,14,7,7,9,9,12,10,7,19,15,20,11,3,7,1,5,19,14,1,210,1996-97,1,1610612737,ATL,True
22,0,By Year,2017-18,82,55,27,0.6709999999999999,48.3,38.3,85.1,0.45,11.5,30.4,0.377,16.0,20.7,0.7709999999999999,9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,19.7,19.2,104.0,3.6,1,4,4,4,12,4,4,10,2,2,3,19,20,6,17,1,2,9,6,19,9,1,1,10,3,5,210,2017-18,1,1610612738,BOS,True
23,1,By Year,2016-17,82,53,29,0.6459999999999999,48.2,38.6,85.1,0.45399999999999996,12.0,33.4,0.359,18.7,23.2,0.807,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,108.0,2.6,1,5,6,5,17,3,3,9,1,1,10,11,15,1,18,3,10,1,1,18,15,15,4,7,1,7,210,2016-17,1,1610612738,BOS,True
24,2,By Year,2015-16,82,48,34,0.585,48.2,39.2,89.2,0.439,8.7,26.1,0.335,18.5,23.5,0.7879999999999999,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,105.7,3.2,1,8,10,9,14,1,1,16,4,4,17,12,14,2,6,2,1,3,3,7,12,19,11,6,2,6,210,2015-16,1,1610612738,BOS,True
25,3,By Year,2014-15,82,40,42,0.488,48.5,38.9,87.9,0.44299999999999995,8.0,24.6,0.327,15.4,20.5,0.754,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8,101.4,0.2,1,12,14,13,4,2,2,14,6,5,22,20,21,14,8,4,3,2,4,14,20,16,5,12,4,11,210,2014-15,1,1610612738,BOS,True
26,4,By Year,2013-14,82,25,57,0.305,48.1,36.5,83.9,0.435,7.0,21.1,0.33299999999999996,16.2,20.8,0.777,12.0,30.5,42.5,21.0,15.4,7.1,4.2,4.5,21.3,19.1,96.2,-4.5,1,19,20,20,19,13,7,18,9,7,19,18,19,4,5,11,6,16,13,21,14,4,7,11,15,21,210,2013-14,0,1610612738,BOS,True
27,5,By Year,2012-13,81,41,40,0.506,49.0,37.0,79.7,0.465,6.1,17.2,0.358,16.3,21.0,0.7759999999999999,8.1,31.3,39.3,22.8,14.6,8.2,4.5,4.7,21.2,19.4,96.5,-0.2,20,11,13,12,2,10,11,7,12,12,12,17,18,5,20,8,19,7,8,13,10,6,6,9,12,12,210,2012-13,1,1610612738,BOS,True
28,6,By Year,2011-12,66,39,27,0.591,48.3,35.5,77.1,0.46,5.5,15.0,0.36700000000000005,15.4,19.8,0.778,7.7,31.1,38.8,23.6,14.8,7.5,5.5,4.6,19.9,18.4,91.8,2.5,21,13,4,8,13,17,19,8,17,21,4,21,22,3,22,9,21,4,9,17,1,5,2,13,22,8,210,2011-12,1,1610612738,BOS,True
29,7,By Year,2010-11,82,56,26,0.6829999999999999,48.2,36.9,75.8,0.486,5.0,13.6,0.365,17.8,23.1,0.77,7.8,31.0,38.8,23.4,14.6,8.2,4.2,4.4,20.5,20.2,96.5,5.4,1,3,3,3,14,11,22,1,22,22,6,15,16,8,21,10,20,6,7,12,13,1,3,8,13,3,210,2010-11,1,1610612738,BOS,True
30,8,By Year,2009-10,82,50,32,0.61,48.2,37.1,76.8,0.483,6.1,17.5,0.348,19.0,25.5,0.746,8.7,29.9,38.6,23.5,14.9,8.5,4.9,4.7,22.1,21.7,99.2,3.7,1,6,8,6,14,9,20,3,13,11,15,10,9,17,19,13,22,5,10,10,5,7,12,4,10,4,210,2009-10,1,1610612738,BOS,True
31,9,By Year,2008-09,82,62,20,0.7559999999999999,48.5,37.5,77.2,0.486,6.6,16.5,0.397,19.4,25.3,0.765,10.6,31.5,42.1,22.7,15.6,7.6,4.7,4.7,23.1,22.2,100.9,7.5,1,2,2,2,5,5,17,2,11,13,1,8,10,10,12,6,8,8,14,16,6,8,15,2,6,2,210,2008-09,1,1610612738,BOS,True
32,10,By Year,2007-08,82,66,16,0.805,48.2,36.4,76.7,0.475,7.3,19.1,0.381,20.5,26.5,0.7709999999999999,10.1,31.9,42.0,22.4,15.2,8.5,4.6,4.7,22.7,22.2,100.5,10.3,1,1,1,1,17,14,21,4,7,10,2,2,6,7,15,5,9,10,11,11,8,8,14,3,8,1,210,2007-08,1,1610612738,BOS,True
33,11,By Year,2006-07,82,24,58,0.293,48.4,34.9,78.7,0.44299999999999995,5.7,15.6,0.36700000000000005,20.4,26.6,0.767,11.2,29.2,40.4,19.9,16.5,7.2,4.7,5.5,24.0,21.4,95.8,-3.4,1,20,21,21,8,18,15,13,14,16,5,3,5,9,7,19,13,21,21,20,7,18,18,5,17,20,210,2006-07,0,1610612738,BOS,True
34,12,By Year,2005-06,82,33,49,0.402,48.5,36.0,77.1,0.467,5.7,15.7,0.36200000000000004,20.3,26.9,0.755,9.9,29.7,39.6,20.9,16.6,7.0,5.1,4.9,24.8,22.4,98.0,-1.5,1,18,19,18,7,16,18,6,15,15,8,4,2,13,16,16,17,18,22,22,3,11,20,1,11,16,210,2005-06,0,1610612738,BOS,True
35,13,By Year,2004-05,82,45,37,0.5489999999999999,48.5,37.1,79.4,0.46799999999999997,5.3,15.3,0.349,21.6,28.3,0.764,11.1,29.7,40.8,22.1,15.8,8.1,5.2,4.9,24.4,0.0,101.3,0.9,1,9,11,10,6,8,12,5,19,18,14,1,1,12,9,15,11,12,16,15,2,10,19,21,5,10,210,2004-05,1,1610612738,BOS,True
36,14,By Year,2003-04,82,36,46,0.439,48.1,34.7,78.2,0.44299999999999995,6.7,19.5,0.34600000000000003,19.2,25.5,0.75,10.4,29.8,40.1,20.5,16.2,9.4,4.0,5.0,22.4,0.0,95.3,-1.5,1,14,15,14,22,20,16,12,10,9,16,9,8,15,13,14,14,20,19,5,17,13,13,20,18,15,210,2003-04,1,1610612738,BOS,True
37,15,By Year,2002-03,82,44,38,0.537,48.4,32.9,79.4,0.415,8.8,26.3,0.33399999999999996,18.0,24.3,0.742,10.4,30.1,40.5,19.2,14.0,8.8,3.7,4.5,21.4,0.0,92.7,-0.4,1,10,12,11,9,22,13,22,3,3,18,14,11,19,14,12,12,22,5,9,19,3,8,18,21,13,210,2002-03,1,1610612738,BOS,True
38,16,By Year,2001-02,82,49,33,0.598,48.4,34.8,82.1,0.424,8.5,23.7,0.359,18.3,23.9,0.764,10.9,31.3,42.2,21.0,13.6,9.7,3.6,5.8,21.7,0.0,96.4,2.2,1,7,9,7,9,19,10,21,5,6,11,13,13,11,11,7,7,17,2,4,21,21,9,19,14,9,210,2001-02,1,1610612738,BOS,True
39,17,By Year,2000-01,82,36,46,0.439,48.4,33.8,79.1,0.428,7.2,19.9,0.363,19.8,26.7,0.74,10.9,28.9,39.8,20.8,15.7,9.4,4.1,5.4,23.8,0.0,94.6,-2.1,1,14,15,14,9,21,14,20,8,8,7,6,4,20,10,20,16,19,15,6,16,17,16,21,19,18,210,2000-01,0,1610612738,BOS,True
40,18,By Year,1999-00,82,35,47,0.42700000000000005,48.1,37.2,83.9,0.444,5.1,15.4,0.331,19.8,26.5,0.745,13.5,29.5,43.0,21.2,15.4,9.7,3.5,5.8,27.1,2.3,99.3,-0.8,1,17,18,17,19,7,8,11,20,17,21,6,7,18,3,17,4,15,12,3,22,20,22,14,9,14,210,1999-00,0,1610612738,BOS,True
