,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS
15,By Year,2002-03,82,24,58,0.293,48.3,34.7,81.3,0.427,5.0,14.5,0.343,16.5,22.9,0.718,12.5,28.7,41.2,19.3,14.4,7.4,4.8,5.0,21.5,0.1,90.9,-5.9,1,18,20,20,13,19,14,20,18,16,18,18,15,21,7,17,12,19,17,11,12,14,9,19,20,20,210,2002-03,0
16,By Year,2001-02,82,42,40,0.512,48.2,35.6,82.0,0.434,4.7,13.5,0.349,15.5,20.9,0.739,13.6,28.5,42.1,21.7,14.3,8.4,5.6,4.8,21.6,0.1,91.4,-0.4,1,9,10,9,20,17,8,18,19,19,16,21,20,19,5,19,8,9,16,4,7,11,10,16,18,10,210,2001-02,1
17,By Year,2000-01,82,47,35,0.573,48.7,37.2,85.0,0.437,5.2,14.2,0.369,18.1,24.2,0.747,13.6,30.8,44.5,24.4,13.2,7.3,6.3,5.4,21.3,0.0,97.6,2.3,1,6,7,6,6,8,2,15,16,18,8,14,12,18,4,6,1,1,6,13,4,18,7,21,13,7,210,2000-01,1
18,By Year,1999-00,82,45,37,0.549,48.2,36.3,83.9,0.433,5.2,14.3,0.363,19.3,25.2,0.765,13.4,29.9,43.3,23.7,13.9,8.1,6.6,5.3,24.3,2.0,97.2,-0.2,1,8,9,8,20,13,4,19,17,17,10,9,6,13,6,12,4,4,13,6,2,17,22,14,15,9,210,1999-00,1
19,By Year,1998-99,50,23,27,0.46,48.3,33.2,78.8,0.421,4.5,13.2,0.341,20.2,26.6,0.76,14.2,28.9,43.2,20.7,16.0,8.8,6.4,5.2,22.8,0.2,91.1,-1.6,22,19,3,12,15,21,20,21,21,21,20,2,2,15,2,16,6,16,20,3,3,16,17,15,19,13,210,1998-99,0
20,By Year,1997-98,82,16,66,0.195,48.6,36.1,83.1,0.435,4.5,13.2,0.342,18.0,25.1,0.718,14.5,26.2,40.7,21.3,16.7,9.4,8.1,6.3,22.6,0.1,94.9,-9.3,1,22,22,22,7,15,6,17,20,22,19,15,7,22,1,22,13,11,22,1,1,22,16,16,17,22,210,1997-98,0
21,By Year,1996-97,82,30,52,0.366,49.9,35.3,80.9,0.437,7.2,19.8,0.363,17.6,24.5,0.72,13.8,27.5,41.3,20.9,16.4,8.8,6.3,5.4,22.0,0.1,95.5,-3.1,1,16,18,17,1,18,17,16,8,8,12,16,11,20,3,21,11,14,21,2,5,19,12,18,16,18,210,1996-97,0
0,By Year,2017-18,70,40,30,0.571,48.1,37.8,82.6,0.458,10.8,29.4,0.367,16.7,21.3,0.785,8.9,34.1,43.0,21.8,14.7,8.7,5.0,4.6,19.5,20.5,103.1,3.3,20,15,8,12,20,6,2,13,1,1,7,21,22,1,22,1,5,15,6,5,16,3,3,8,4,9,210,2017-18,0
1,By Year,2016-17,82,51,31,0.622,48.2,37.0,79.5,0.466,9.6,26.0,0.372,17.1,22.9,0.747,9.4,33.8,43.2,20.1,13.6,6.7,5.0,3.8,18.8,20.2,100.7,3.9,1,7,10,8,17,10,10,9,2,2,3,19,20,14,21,2,3,20,1,20,15,1,1,11,8,8,210,2016-17,1
2,By Year,2015-16,82,40,42,0.488,48.7,36.1,80.4,0.449,8.5,23.9,0.355,17.1,23.0,0.744,10.7,32.5,43.2,19.0,14.9,7.7,5.2,4.7,20.2,19.9,97.7,1.8,1,15,18,18,4,14,6,18,3,3,11,18,18,18,19,3,3,22,10,13,12,5,4,12,12,13,210,2015-16,0
3,By Year,2014-15,82,38,44,0.463,48.1,35.4,79.2,0.447,7.4,21.7,0.343,17.0,23.5,0.721,12.0,31.9,44.0,19.9,15.3,7.6,6.0,4.7,19.3,19.6,95.1,0.2,1,18,20,20,21,16,11,19,4,4,16,20,17,21,9,4,2,21,12,16,5,4,2,13,16,16,210,2014-15,0
4,By Year,2013-14,82,25,57,0.305,48.2,36.0,81.1,0.444,6.6,19.2,0.344,16.4,22.0,0.747,11.0,30.2,41.2,20.3,14.6,7.0,4.5,4.9,20.7,20.4,95.0,-7.2,1,22,22,22,11,15,4,20,5,5,15,22,21,15,16,7,13,19,4,19,20,6,5,9,17,22,210,2013-14,0
5,By Year,2012-13,82,43,39,0.524,48.5,37.1,81.8,0.454,6.2,16.9,0.366,17.5,23.0,0.764,12.1,30.0,42.0,22.7,14.8,8.4,6.3,5.9,21.3,20.4,98.0,-0.1,1,12,15,15,5,9,3,15,6,6,8,17,19,8,8,9,10,13,7,7,2,20,6,10,11,17,210,2012-13,0
6,By Year,2011-12,66,36,30,0.545,49.0,38.2,83.8,0.456,4.1,12.8,0.323,19.1,25.3,0.754,13.0,31.1,44.2,21.8,14.2,8.3,5.8,5.7,21.8,20.7,99.7,0.6,21,20,8,13,2,4,1,14,12,12,21,16,15,12,4,6,1,16,2,8,7,18,7,7,9,15,210,2011-12,1
7,By Year,2010-11,82,39,43,0.476,48.5,37.4,80.4,0.465,5.3,15.3,0.346,19.4,25.1,0.771,11.0,28.5,39.5,23.4,14.3,7.7,5.9,5.0,22.7,22.0,99.4,-1.8,1,17,19,19,5,8,8,11,8,7,14,15,16,4,17,20,22,12,3,14,6,7,13,6,10,19,210,2010-11,0
8,By Year,2009-10,82,53,29,0.646,48.2,39.4,80.2,0.491,5.4,14.7,0.364,20.2,27.2,0.741,10.6,31.6,42.2,26.7,15.2,8.2,4.9,5.4,22.7,22.2,104.2,5.3,1,5,6,6,17,2,9,3,7,8,9,13,12,20,20,5,7,2,11,9,17,15,12,5,2,5,210,2009-10,1
9,By Year,2008-09,82,48,34,0.585,48.5,38.3,80.8,0.475,4.8,13.7,0.349,22.1,28.7,0.771,11.5,29.5,41.0,24.7,14.8,8.8,4.6,5.2,22.3,24.0,103.6,2.6,1,9,12,10,5,3,5,5,10,9,13,6,7,5,13,12,16,8,7,3,18,11,8,3,3,11,210,2008-09,1
10,By Year,2007-08,82,54,28,0.659,48.1,40.0,80.4,0.497,5.0,13.4,0.372,21.3,28.0,0.759,11.5,29.4,40.9,26.4,14.6,8.7,4.3,5.1,24.0,23.1,106.2,6.9,1,4,5,5,21,1,7,2,9,10,4,9,9,10,12,13,18,3,4,4,21,9,15,4,1,2,210,2007-08,1
11,By Year,2006-07,82,51,31,0.622,48.3,37.4,78.9,0.474,4.3,12.9,0.335,22.3,30.0,0.743,12.6,30.0,42.5,24.7,15.6,7.0,4.1,5.3,25.2,24.5,101.5,2.9,1,7,10,8,10,7,12,6,11,11,18,5,4,19,6,10,6,8,15,18,22,14,19,2,6,10,210,2006-07,1
12,By Year,2005-06,82,41,41,0.5,48.5,33.5,75.7,0.442,3.8,11.3,0.336,21.6,30.1,0.719,13.1,29.0,42.1,21.6,15.7,6.4,6.0,5.6,24.8,25.7,92.4,-2.6,1,14,17,17,5,21,18,21,16,13,17,7,3,22,3,18,9,17,16,22,4,17,18,1,21,20,210,2005-06,0
13,By Year,2004-05,82,26,56,0.317,48.2,34.5,76.8,0.449,3.0,9.3,0.328,21.0,27.7,0.757,12.8,27.4,40.1,22.3,15.8,6.6,4.6,5.8,26.7,0.0,93.0,-4.3,1,21,21,21,16,19,15,17,19,19,20,10,11,11,5,22,21,14,17,21,18,19,22,21,20,21,210,2004-05,0
14,By Year,2003-04,82,42,40,0.512,48.2,32.8,75.3,0.436,3.1,9.6,0.321,20.0,26.8,0.746,13.5,27.7,41.2,20.4,16.6,7.1,6.0,6.5,25.6,0.1,88.7,-1.2,1,13,16,16,11,22,20,22,18,18,22,14,13,16,2,21,14,18,21,17,3,21,20,20,22,18,210,2003-04,0
15,By Year,2002-03,82,47,35,0.573,48.2,35.3,75.5,0.468,2.7,7.8,0.349,21.3,28.6,0.745,12.5,29.0,41.5,25.6,16.8,8.6,5.7,5.2,22.4,0.1,94.7,2.4,1,10,13,11,11,17,19,8,22,21,12,8,8,17,7,17,11,5,22,6,8,12,9,19,18,12,210,2002-03,1
16,By Year,2001-02,82,44,38,0.537,48.4,35.0,77.7,0.45,3.4,10.3,0.333,22.6,29.6,0.763,13.5,28.6,42.2,24.4,16.5,9.1,6.4,6.7,24.0,0.1,96.0,0.9,1,11,14,14,9,18,14,16,17,17,19,4,5,9,1,19,8,10,20,1,1,22,16,18,15,14,210,2001-02,1
17,By Year,2000-01,82,53,29,0.646,48.2,36.1,76.7,0.471,4.0,10.4,0.381,20.9,27.8,0.752,11.5,29.1,40.6,25.7,15.8,8.1,5.6,5.5,25.7,0.0,97.1,4.7,1,5,6,6,15,13,16,7,15,16,2,11,10,13,11,16,19,4,18,10,9,16,21,21,13,6,210,2000-01,1
18,By Year,1999-00,82,55,27,0.671,48.2,36.1,77.8,0.464,4.0,10.4,0.385,20.3,26.2,0.773,11.4,29.6,41.0,24.9,14.9,7.7,5.4,5.0,24.5,2.8,96.5,4.5,1,3,4,4,17,12,13,12,14,15,1,12,14,3,14,11,17,7,9,14,11,7,17,14,14,7,210,1999-00,1
19,By Year,1998-99,50,37,13,0.74,48.7,33.7,72.4,0.465,2.8,7.8,0.361,23.2,30.2,0.767,11.1,30.2,41.3,24.1,16.3,8.0,5.5,5.3,22.7,0.1,93.3,6.5,22,19,1,3,3,20,22,10,21,22,10,2,2,7,15,8,12,11,19,11,10,13,11,17,19,4,210,1998-99,1
20,By Year,1997-98,82,62,20,0.756,48.2,36.5,74.5,0.49,3.0,8.2,0.372,24.9,32.2,0.773,11.7,29.3,41.1,25.2,15.4,7.9,5.0,5.2,23.9,0.3,101.0,6.5,1,2,3,2,14,11,21,4,20,20,5,1,1,2,10,15,15,6,13,12,14,10,14,15,7,3,210,1997-98,1
21,By Year,1996-97,82,64,18,0.78,50.3,38.2,75.8,0.504,4.1,11.0,0.37,22.7,29.5,0.769,10.8,29.4,40.2,26.8,15.4,9.1,5.1,4.5,22.6,0.2,103.1,8.8,1,1,2,1,1,5,17,1,13,14,6,3,6,6,18,13,20,1,13,2,13,2,10,16,5,1,210,1996-97,1
0,By Year,2017-18,69,19,50,0.275,48.1,36.2,82.1,0.441,9.2,26.3,0.349,17.1,21.6,0.792,9.4,31.2,40.6,21.4,14.9,7.4,5.0,5.2,23.5,20.7,98.8,-5.3,20,19,13,16,21,12,9,16,2,2,11,18,19,1,22,4,14,9,10,18,10,5,22,9,7,14,210,2017-18,0
1,By Year,2016-17,82,43,39,0.524,48.5,36.4,83.6,0.435,9.4,26.5,0.354,18.3,23.4,0.784,10.8,32.0,42.8,21.3,12.9,8.0,4.2,5.0,22.4,20.8,100.5,0.5,1,8,9,9,5,11,3,21,1,1,8,11,14,2,16,2,2,10,1,10,21,2,17,8,4,9,210,2016-17,1
2,By Year,2015-16,82,42,40,0.512,48.4,36.8,83.6,0.44,6.1,18.5,0.331,19.3,24.7,0.783,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,99.1,-2.2,1,9,10,10,12,7,2,17,6,5,19,6,10,3,13,6,9,14,2,4,17,15,14,7,6,11,210,2015-16,1
3,By Year,2014-15,82,55,27,0.671,48.5,37.8,82.5,0.458,5.2,15.2,0.339,17.6,22.8,0.773,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,98.3,3.2,1,2,3,2,5,4,5,5,11,11,16,15,17,5,18,1,4,8,3,6,19,4,1,10,8,3,210,2014-15,1
4,By Year,2013-14,82,50,32,0.61,48.3,38.1,82.0,0.464,4.9,14.0,0.353,15.1,20.3,0.741,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5.0,19.1,18.9,96.1,1.6,1,3,4,4,14,3,10,4,12,12,9,21,22,13,11,5,5,6,4,14,15,2,2,13,12,8,210,2013-14,1
5,By Year,2012-13,82,56,26,0.683,48.3,36.1,81.5,0.444,4.7,13.5,0.345,16.5,21.3,0.773,12.9,29.8,42.7,20.9,14.0,8.6,5.3,5.5,20.2,20.0,93.4,4.1,1,1,2,1,14,13,11,15,14,13,13,19,20,6,4,9,3,12,6,5,8,8,8,11,17,1,210,2012-13,1
6,By Year,2011-12,66,41,25,0.621,48.3,36.7,82.2,0.447,4.2,12.9,0.326,17.3,22.8,0.759,12.6,29.5,42.0,19.5,14.5,9.6,5.2,5.5,19.9,19.3,95.0,2.0,21,10,1,3,18,8,8,12,15,16,21,17,18,9,6,11,6,17,8,2,9,10,5,12,13,7,210,2011-12,1
7,By Year,2010-11,82,46,36,0.561,48.5,39.0,82.9,0.471,3.8,11.3,0.334,18.1,24.2,0.75,11.8,29.2,41.0,20.6,14.0,9.4,5.4,6.2,20.8,21.4,99.9,2.3,1,6,7,7,8,2,4,1,21,19,18,12,12,12,10,13,13,15,7,3,7,19,10,6,5,5,210,2010-11,1
8,By Year,2009-10,82,40,42,0.488,48.5,39.3,83.8,0.469,4.2,12.4,0.337,19.7,26.9,0.733,13.0,30.4,43.5,18.8,15.2,7.9,4.9,6.1,20.2,22.4,102.5,-1.5,1,11,11,11,5,1,1,2,16,17,17,3,3,16,2,7,1,21,12,13,12,18,7,4,1,10,210,2009-10,0
9,By Year,2008-09,82,24,58,0.293,48.3,34.9,77.0,0.454,4.9,13.5,0.36,19.1,25.3,0.756,10.3,28.5,38.8,17.4,15.3,7.5,4.7,5.4,21.7,21.8,93.9,-5.5,1,13,15,13,14,17,19,8,13,14,6,7,7,10,20,17,21,22,14,15,14,7,13,5,15,15,210,2008-09,0
10,By Year,2007-08,82,22,60,0.268,48.3,37.3,82.2,0.454,7.6,21.7,0.349,18.5,25.6,0.723,10.3,31.3,41.6,19.2,15.3,6.1,4.7,4.9,19.4,22.5,100.7,-6.2,1,16,18,17,14,5,7,7,3,3,12,10,6,18,19,3,8,20,13,22,13,1,4,3,3,18,210,2007-08,0
11,By Year,2006-07,82,22,60,0.268,48.7,36.6,78.6,0.465,6.1,16.6,0.367,22.4,29.4,0.761,10.6,29.0,39.5,20.5,16.4,6.9,5.0,5.5,22.3,24.3,101.6,-5.1,1,16,18,17,2,10,17,3,7,7,2,1,1,8,17,16,18,16,18,21,11,8,16,1,2,13,210,2006-07,0
12,By Year,2005-06,82,49,33,0.598,48.4,33.5,74.7,0.448,7.2,19.2,0.374,18.0,25.3,0.711,10.2,29.0,39.2,19.3,13.8,7.3,5.4,5.6,21.4,22.8,92.2,3.7,1,5,6,6,10,21,22,11,4,4,1,13,7,20,21,15,19,18,5,19,6,11,12,2,18,2,210,2005-06,1
13,By Year,2004-05,82,45,37,0.549,48.1,34.2,76.5,0.447,6.5,18.1,0.357,18.6,24.7,0.754,10.8,28.1,39.0,20.9,14.6,8.5,5.8,5.8,23.3,0.0,93.4,2.3,1,7,8,8,22,20,21,13,5,6,7,9,10,11,15,20,20,11,9,7,4,16,21,21,16,6,210,2004-05,1
14,By Year,2003-04,82,50,32,0.61,48.5,36.1,81.2,0.445,5.5,16.0,0.34,19.0,26.1,0.727,12.8,29.0,41.8,23.4,15.0,9.7,6.9,5.6,23.2,0.0,96.7,2.4,1,3,4,4,8,14,12,14,9,8,15,8,5,17,5,14,7,2,11,1,1,13,20,19,10,4,210,2003-04,1
15,By Year,2002-03,82,28,54,0.341,48.6,37.2,82.2,0.452,5.7,15.6,0.365,17.4,23.6,0.739,11.5,30.1,41.6,23.1,15.4,7.9,6.1,5.2,20.5,0.0,97.5,-3.2,1,12,14,12,4,6,6,9,8,9,3,16,13,15,12,8,10,4,15,11,2,6,9,20,9,12,210,2002-03,0
16,By Year,2001-02,82,23,59,0.28,48.2,34.8,79.7,0.436,4.1,13.4,0.307,16.3,23.0,0.708,12.0,29.4,41.4,21.8,16.4,7.9,6.0,5.6,19.2,0.1,89.9,-7.4,1,14,16,14,19,18,15,20,17,15,22,20,16,22,9,12,11,7,19,12,3,12,3,17,20,20,210,2001-02,0
17,By Year,2000-01,82,23,59,0.28,48.2,35.0,79.7,0.439,4.0,11.5,0.343,17.8,23.1,0.77,10.9,29.6,40.5,23.2,15.7,7.1,4.4,5.8,21.1,0.0,91.7,-5.7,1,14,16,14,19,16,14,18,18,18,14,14,15,7,14,10,16,3,16,20,16,16,11,21,19,17,210,2000-01,0
18,By Year,1999-00,82,22,60,0.268,48.4,35.3,78.5,0.449,4.0,11.0,0.361,19.4,25.1,0.774,12.3,28.3,40.6,20.7,16.8,7.4,4.2,6.3,22.9,2.4,93.9,-5.6,1,16,18,17,10,15,18,10,20,20,5,4,9,4,8,18,15,13,20,17,20,20,19,14,14,16,210,1999-00,0
19,By Year,1998-99,50,8,42,0.16,48.7,32.9,76.8,0.428,3.0,9.1,0.327,20.2,28.2,0.717,13.0,27.2,40.2,19.3,17.0,8.4,4.0,6.6,22.5,0.2,88.9,-8.7,22,22,11,22,3,22,20,22,22,22,20,2,2,19,3,21,17,19,21,8,22,21,18,16,22,21,210,1998-99,0
20,By Year,1997-98,82,19,63,0.232,48.4,36.7,80.1,0.458,4.0,11.0,0.362,19.3,26.2,0.739,13.2,28.2,41.4,23.9,17.1,7.5,4.3,6.6,22.1,0.2,96.6,-7.3,1,19,21,20,12,9,13,6,18,20,4,5,4,14,1,19,12,1,22,16,18,22,15,15,11,19,210,1997-98,0
21,By Year,1996-97,82,14,68,0.171,49.7,34.4,78.7,0.437,5.4,15.5,0.349,15.0,21.1,0.709,12.5,26.3,38.8,22.7,15.9,8.0,5.7,5.6,20.0,0.1,89.2,-10.2,1,21,22,21,1,19,16,19,10,10,10,22,21,21,7,22,22,5,17,9,5,13,6,18,21,22,210,1996-97,0
0,By Year,2017-18,70,40,30,0.571,48.5,40.2,85.6,0.469,9.8,26.3,0.374,17.3,22.4,0.774,10.0,33.0,43.0,24.9,14.5,8.0,4.3,4.7,21.5,20.4,107.5,1.4,20,11,1,2,6,2,3,3,1,1,4,14,17,4,21,2,3,1,11,11,17,14,13,4,2,4,210,2017-18,0
1,By Year,2016-17,82,49,33,0.598,48.4,41.3,87.0,0.475,9.2,24.8,0.372,17.3,22.1,0.784,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,109.2,1.8,1,1,3,1,7,1,1,2,2,2,5,15,18,1,20,4,4,4,8,5,20,12,10,9,1,2,210,2016-17,1
2,By Year,2015-16,82,41,41,0.5,48.2,39.5,85.8,0.46,8.6,24.2,0.358,16.5,22.5,0.73,9.1,32.8,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1,104.1,-0.5,1,9,11,10,18,3,2,5,3,3,8,18,16,16,22,3,11,2,10,4,21,6,8,7,4,10,210,2015-16,0
3,By Year,2014-15,82,46,36,0.561,48.7,38.3,82.8,0.462,6.1,16.8,0.36,15.9,21.4,0.742,10.5,34.2,44.7,24.0,15.0,7.3,4.6,4.3,20.8,19.6,98.5,0.7,1,2,4,3,3,6,10,4,9,10,7,19,19,13,19,1,1,3,15,18,11,5,7,10,10,6,210,2014-15,1
4,By Year,2013-14,82,44,38,0.537,48.9,38.7,84.4,0.459,7.9,20.8,0.38,15.3,20.9,0.731,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,100.7,1.3,1,4,6,5,2,5,4,6,4,4,2,21,22,15,18,6,9,6,12,7,12,1,3,11,6,5,210,2013-14,1
5,By Year,2012-13,82,29,53,0.354,48.4,35.5,81.6,0.435,6.6,18.2,0.365,15.6,21.3,0.733,10.8,32.3,43.2,21.6,15.1,7.3,4.6,4.4,20.5,19.1,93.2,-2.5,1,14,16,15,7,18,13,21,7,8,6,20,20,14,17,5,2,8,16,19,13,7,5,12,18,15,210,2012-13,0
6,By Year,2011-12,66,20,46,0.303,48.1,36.6,83.0,0.441,5.2,16.3,0.32,15.3,21.0,0.727,11.7,29.9,41.7,19.1,15.3,8.0,6.3,4.5,21.3,18.7,93.6,-4.8,21,19,15,19,20,12,8,17,13,11,20,22,21,17,14,8,14,18,17,10,1,11,11,13,16,18,210,2011-12,0
7,By Year,2010-11,82,23,59,0.28,48.6,37.2,84.0,0.443,4.8,14.4,0.332,18.2,24.4,0.745,12.4,29.0,41.3,19.4,15.3,8.1,6.1,5.0,22.6,20.3,97.3,-7.4,1,18,20,20,4,9,5,15,15,15,16,10,9,11,8,16,16,17,18,8,2,16,18,5,11,21,210,2010-11,0
8,By Year,2009-10,82,26,56,0.317,48.4,36.7,81.7,0.449,5.3,14.9,0.353,17.6,23.1,0.762,11.8,30.0,41.8,19.0,14.9,6.0,5.1,5.1,21.4,20.5,96.2,-4.8,1,16,18,17,9,11,11,11,12,13,11,12,14,8,13,7,13,20,14,22,3,18,12,3,14,17,210,2009-10,0
9,By Year,2008-09,82,19,63,0.232,48.1,36.5,81.2,0.45,4.8,14.6,0.33,18.2,23.8,0.767,11.7,28.4,40.1,20.0,14.0,7.5,4.5,5.3,20.5,20.0,96.1,-7.5,1,20,21,21,21,13,18,10,14,14,18,9,13,5,15,21,21,14,6,17,15,19,4,8,15,22,210,2008-09,0
10,By Year,2007-08,82,43,39,0.524,48.5,36.4,81.6,0.446,7.0,19.7,0.356,19.0,24.3,0.782,12.3,29.3,41.6,19.6,13.2,7.7,4.8,4.4,19.6,20.2,98.8,-0.3,1,6,8,7,5,14,12,13,5,5,10,8,10,2,10,11,15,16,2,14,6,9,1,6,9,8,210,2007-08,1
11,By Year,2006-07,82,41,41,0.5,48.4,37.4,83.2,0.45,6.8,19.7,0.348,22.6,29.6,0.765,12.2,29.0,41.2,20.2,13.8,7.7,4.6,4.6,22.2,23.5,104.3,-0.5,1,9,11,10,12,8,6,9,6,5,12,2,3,7,11,15,19,12,4,13,14,13,16,2,3,11,210,2006-07,1
12,By Year,2005-06,82,42,40,0.512,48.4,36.3,81.2,0.447,6.1,17.0,0.357,23.0,30.4,0.757,12.6,28.6,41.2,18.6,13.9,8.0,4.1,4.2,22.6,25.0,101.7,1.9,1,7,9,8,13,15,17,12,9,9,9,1,1,10,6,19,18,22,5,9,19,3,19,1,5,1,210,2005-06,1
13,By Year,2004-05,82,45,37,0.549,48.2,36.2,82.8,0.436,6.3,18.3,0.343,21.9,30.2,0.725,13.8,29.0,42.8,19.1,14.3,8.7,4.2,5.0,22.0,0.0,100.5,-0.3,1,3,5,4,16,16,9,20,8,7,13,3,2,18,1,16,5,19,9,2,18,15,15,21,7,8,210,2004-05,1
14,By Year,2003-04,82,25,57,0.305,48.4,33.6,80.0,0.421,5.3,15.5,0.342,19.3,27.0,0.714,13.6,29.2,42.8,18.7,17.5,8.9,5.0,5.5,20.9,0.0,91.8,-5.6,1,17,19,18,9,22,19,22,11,12,14,6,5,19,3,14,5,21,22,1,4,20,9,19,20,19,210,2003-04,0
15,By Year,2002-03,82,37,45,0.451,48.4,34.3,78.0,0.44,3.1,9.9,0.312,19.7,25.3,0.779,11.2,29.2,40.4,19.7,13.4,7.6,4.8,4.4,20.0,0.0,91.5,-1.0,1,12,13,12,9,21,22,18,22,21,21,5,8,3,16,12,20,15,3,16,7,7,2,19,21,12,210,2002-03,0
16,By Year,2001-02,82,37,45,0.451,48.1,35.8,81.3,0.441,3.7,9.6,0.388,17.4,22.8,0.765,12.9,29.2,42.0,20.9,13.0,7.0,4.3,5.0,21.5,0.1,92.8,-1.4,1,12,13,12,19,17,16,16,19,22,1,13,15,6,5,13,10,11,1,21,16,17,14,18,19,13,210,2001-02,0
17,By Year,2000-01,82,19,63,0.232,48.0,34.5,78.7,0.439,3.4,10.3,0.324,20.8,27.4,0.759,12.4,28.9,41.3,20.1,17.0,7.7,4.7,6.2,23.3,0.0,93.2,-6.7,1,20,21,21,22,20,21,19,21,20,19,4,4,9,7,18,17,13,21,15,8,22,21,21,17,20,210,2000-01,0
18,By Year,1999-00,82,29,53,0.354,48.3,36.7,81.5,0.45,4.1,10.9,0.376,19.1,25.7,0.743,13.0,29.7,42.7,21.6,16.1,7.2,4.7,6.1,26.2,2.7,96.6,-3.3,1,14,16,15,14,10,14,8,16,19,3,7,7,12,4,9,7,9,20,20,8,21,22,14,13,16,210,1999-00,0
19,By Year,1998-99,50,18,32,0.36,48.2,35.4,79.4,0.445,3.6,11.6,0.309,16.9,24.0,0.705,11.9,28.1,40.0,21.3,14.7,7.9,3.9,4.2,23.0,0.1,91.2,-2.2,22,22,2,14,17,19,20,14,20,17,22,17,12,21,12,22,22,10,13,12,22,4,20,17,22,14,210,1998-99,0
20,By Year,1997-98,82,42,40,0.512,48.3,37.6,83.1,0.452,3.9,11.5,0.339,18.2,26.3,0.691,13.7,28.5,42.2,23.2,14.1,8.4,4.6,4.5,22.4,0.2,97.2,0.6,1,7,9,8,14,7,7,7,18,18,15,10,6,22,2,20,8,7,7,6,10,10,17,15,12,7,210,1997-98,0
21,By Year,1996-97,82,44,38,0.537,50.0,39.1,81.4,0.48,4.0,12.2,0.331,17.1,24.1,0.707,12.3,29.5,41.8,23.4,15.7,8.7,4.9,4.1,20.7,0.2,99.4,1.6,1,4,6,5,1,4,15,1,17,16,17,16,11,20,9,10,12,5,19,3,5,2,6,15,8,3,210,1996-97,1
0,By Year,2017-18,69,30,39,0.435,48.2,38.7,86.6,0.447,10.5,28.3,0.371,14.7,19.7,0.744,10.2,33.0,43.2,22.5,13.8,7.6,3.7,5.0,18.8,18.4,102.6,-1.7,20,16,11,15,19,3,3,12,1,1,5,21,21,11,21,3,7,2,12,8,19,20,4,12,2,17,210,2017-18,0
1,By Year,2016-17,82,37,45,0.451,48.3,39.9,88.8,0.449,7.7,23.4,0.33,13.9,19.3,0.719,11.1,34.6,45.7,21.1,11.9,7.0,3.8,4.1,17.9,17.5,101.3,-1.1,1,12,15,13,14,1,1,10,4,4,19,22,22,18,18,1,2,9,3,17,18,6,1,13,4,15,210,2016-17,0
2,By Year,2015-16,82,44,38,0.537,48.5,37.9,86.4,0.439,9.0,26.2,0.345,17.1,25.5,0.668,12.5,33.9,46.3,19.4,13.5,7.0,3.7,4.5,19.0,21.6,102.0,0.6,1,9,10,10,6,4,4,17,2,2,15,15,7,22,7,2,1,19,11,19,20,9,5,1,3,12,210,2015-16,1
3,By Year,2014-15,82,32,50,0.39,48.4,37.1,85.8,0.432,8.6,24.9,0.344,15.8,22.4,0.703,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19.0,19.3,98.5,-1.0,1,14,17,16,11,7,5,20,3,3,16,20,19,19,5,4,5,5,8,9,11,14,6,10,6,14,210,2014-15,0
4,By Year,2013-14,82,29,53,0.354,48.2,38.8,86.9,0.447,6.2,19.3,0.321,17.3,25.7,0.67,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7,101.0,-3.7,1,18,20,20,16,2,2,14,10,5,20,14,5,21,1,6,4,11,14,2,10,18,12,4,5,19,210,2013-14,0
5,By Year,2012-13,82,29,53,0.354,48.3,36.3,81.0,0.449,6.3,17.6,0.356,15.9,22.8,0.699,12.1,30.0,42.1,21.2,15.1,7.0,4.9,5.8,19.8,19.9,94.9,-4.0,1,18,20,20,14,11,8,11,9,10,10,19,16,20,10,9,9,8,17,17,9,22,8,6,12,20,210,2012-13,0
