,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS
9,By Year,2008-09,82,41,41,0.5,48.2,36.5,79.7,0.459,4.2,13.1,0.318,20.1,27.0,0.745,12.7,28.5,41.2,20.1,14.1,8.0,5.1,4.9,20.1,21.8,97.4,0.1,1,6,9,9,18,11,16,5,13,12,16,8,8,11,9,21,18,19,4,16,8,8,7,3,10,10,210,2008-09,1
10,By Year,2007-08,82,40,42,0.488,48.2,37.3,81.1,0.46,3.7,11.6,0.317,18.4,26.1,0.706,13.0,28.9,41.9,20.4,14.3,8.7,4.9,5.1,19.8,20.8,96.6,0.4,1,8,11,11,18,8,13,4,15,15,17,13,10,20,7,17,13,16,6,8,12,9,4,5,12,9,210,2007-08,1
11,By Year,2006-07,82,35,47,0.427,48.5,35.8,78.1,0.458,3.5,10.0,0.345,20.0,26.0,0.767,11.0,28.7,39.7,20.4,15.3,7.2,4.8,3.9,20.4,22.0,94.9,-3.0,1,11,13,13,5,16,19,7,16,16,7,10,11,6,16,19,22,17,10,22,14,1,8,2,13,15,210,2006-07,0
12,By Year,2005-06,82,38,44,0.463,48.5,36.6,79.8,0.458,4.6,12.6,0.364,21.6,28.4,0.76,10.6,29.6,40.2,20.2,14.1,7.9,4.9,4.7,20.9,23.1,99.4,-2.0,1,9,12,12,4,10,15,6,12,13,2,2,4,7,19,13,21,18,5,19,11,5,12,1,5,12,210,2005-06,0
13,By Year,2004-05,82,43,39,0.524,48.4,35.9,82.1,0.437,6.2,17.7,0.348,21.1,26.8,0.789,11.1,30.9,42.0,20.9,15.5,9.2,3.9,4.7,22.9,0.0,99.1,-0.7,1,4,7,7,10,15,11,16,7,6,6,6,9,1,14,8,12,12,11,6,21,4,20,21,6,11,210,2004-05,1
14,By Year,2003-04,82,33,49,0.402,48.4,32.7,76.3,0.428,4.1,12.1,0.342,18.4,24.5,0.753,11.5,29.4,40.8,20.0,15.9,8.0,4.4,5.6,20.7,0.0,88.0,-2.5,1,14,15,15,7,22,22,20,14,14,9,12,13,10,12,16,20,20,14,17,18,16,11,20,22,14,210,2003-04,0
15,By Year,2002-03,82,48,34,0.585,48.4,36.3,81.0,0.448,3.0,9.6,0.311,21.3,27.5,0.775,12.7,29.5,42.2,21.6,14.8,10.3,3.5,6.4,22.0,0.1,96.8,2.3,1,3,6,3,7,13,14,8,18,19,19,4,6,3,8,15,11,8,8,2,22,20,16,17,11,3,210,2002-03,1
16,By Year,2001-02,82,43,39,0.524,48.1,34.2,78.5,0.436,2.6,8.7,0.299,20.0,25.7,0.779,13.3,30.9,44.2,20.0,15.3,8.6,4.4,5.6,20.0,0.2,91.0,1.6,1,4,7,7,22,19,18,17,20,20,21,9,12,2,5,10,3,21,9,9,17,14,6,15,20,6,210,2001-02,1
17,By Year,2000-01,82,56,26,0.683,48.4,35.4,79.1,0.447,3.2,9.8,0.326,20.7,27.8,0.745,13.1,31.7,44.8,20.6,15.8,8.4,5.0,5.6,20.4,0.0,94.7,4.3,1,1,2,1,6,17,17,10,17,18,12,7,5,12,6,5,2,14,13,11,9,14,9,21,15,1,210,2000-01,1
18,By Year,1999-00,82,49,33,0.598,48.4,36.5,82.6,0.442,2.5,7.8,0.323,19.2,27.1,0.708,14.0,30.1,44.1,22.2,15.7,9.6,4.7,6.5,23.6,2.5,94.8,1.3,1,2,5,2,11,12,9,13,21,21,13,11,7,19,3,12,5,5,12,3,15,21,22,14,14,8,210,1999-00,1
19,By Year,1998-99,50,28,22,0.56,48.6,33.1,77.7,0.426,2.0,7.4,0.264,21.5,29.7,0.722,14.6,28.6,43.1,18.7,16.4,10.8,5.4,5.3,23.0,0.1,89.7,2.1,22,16,1,4,3,21,21,21,22,22,22,3,2,17,2,20,7,22,16,1,4,11,21,16,21,5,210,1998-99,1
20,By Year,1997-98,82,31,51,0.378,48.2,34.6,78.1,0.443,3.0,9.9,0.3,21.1,28.7,0.737,13.7,28.0,41.7,21.1,16.5,8.9,6.0,6.2,22.9,0.1,93.3,-2.4,1,15,16,16,21,18,20,12,19,17,20,5,3,14,4,22,15,10,17,7,2,19,19,17,17,13,210,1997-98,0
